ADC, mV 1000OhmOutput1000_Ohm_noor 
494.000000, 190.000000
496.000000, 190.000000
499.000000, 190.000000
497.000000, 190.000000
496.000000, 190.000000
492.000000, 190.000000
499.000000, 190.000000
492.000000, 190.000000
492.000000, 190.000000
497.000000, 190.000000
504.000000, 195.000000
504.000000, 195.000000
504.000000, 195.000000
499.000000, 195.000000
505.000000, 195.000000
508.000000, 195.000000
499.000000, 195.000000
496.000000, 195.000000
497.000000, 195.000000
504.000000, 195.000000
511.000000, 200.000000
508.000000, 200.000000
508.000000, 200.000000
504.000000, 200.000000
511.000000, 200.000000
504.000000, 200.000000
513.000000, 200.000000
512.000000, 200.000000
504.000000, 200.000000
510.000000, 200.000000
515.000000, 205.000000
512.000000, 205.000000
511.000000, 205.000000
508.000000, 205.000000
515.000000, 205.000000
518.000000, 205.000000
512.000000, 205.000000
513.000000, 205.000000
510.000000, 205.000000
519.000000, 205.000000
511.000000, 210.000000
524.000000, 210.000000
511.000000, 210.000000
519.000000, 210.000000
521.000000, 210.000000
519.000000, 210.000000
514.000000, 210.000000
519.000000, 210.000000
519.000000, 210.000000
515.000000, 210.000000
521.000000, 215.000000
519.000000, 215.000000
526.000000, 215.000000
519.000000, 215.000000
524.000000, 215.000000
521.000000, 215.000000
527.000000, 215.000000
524.000000, 215.000000
515.000000, 215.000000
519.000000, 215.000000
526.000000, 220.000000
519.000000, 220.000000
518.000000, 220.000000
517.000000, 220.000000
527.000000, 220.000000
519.000000, 220.000000
518.000000, 220.000000
524.000000, 220.000000
519.000000, 220.000000
526.000000, 220.000000
519.000000, 225.000000
519.000000, 225.000000
519.000000, 225.000000
526.000000, 225.000000
519.000000, 225.000000
184.000000, 225.000000
184.000000, 225.000000
521.000000, 225.000000
192.000000, 225.000000
519.000000, 225.000000
536.000000, 230.000000
529.000000, 230.000000
524.000000, 230.000000
527.000000, 230.000000
527.000000, 230.000000
531.000000, 230.000000
515.000000, 230.000000
527.000000, 230.000000
524.000000, 230.000000
536.000000, 230.000000
536.000000, 235.000000
531.000000, 235.000000
537.000000, 235.000000
537.000000, 235.000000
529.000000, 235.000000
531.000000, 235.000000
536.000000, 235.000000
529.000000, 235.000000
527.000000, 235.000000
527.000000, 235.000000
543.000000, 240.000000
543.000000, 240.000000
537.000000, 240.000000
543.000000, 240.000000
543.000000, 240.000000
542.000000, 240.000000
540.000000, 240.000000
540.000000, 240.000000
543.000000, 240.000000
542.000000, 240.000000
547.000000, 245.000000
551.000000, 245.000000
