ADC, mV wed_noor_calib4_period05_replugged 
679.000000, 205.000000
671.000000, 205.000000
681.000000, 205.000000
671.000000, 205.000000
685.000000, 210.000000
681.000000, 210.000000
679.000000, 210.000000
688.000000, 210.000000
679.000000, 210.000000
691.000000, 210.000000
681.000000, 210.000000
688.000000, 210.000000
691.000000, 210.000000
691.000000, 210.000000
688.000000, 215.000000
696.000000, 215.000000
696.000000, 215.000000
696.000000, 215.000000
704.000000, 215.000000
704.000000, 215.000000
689.000000, 215.000000
697.000000, 215.000000
688.000000, 215.000000
691.000000, 215.000000
696.000000, 220.000000
696.000000, 220.000000
705.000000, 220.000000
704.000000, 220.000000
700.000000, 220.000000
707.000000, 220.000000
697.000000, 220.000000
704.000000, 220.000000
696.000000, 220.000000
696.000000, 220.000000
704.000000, 225.000000
707.000000, 225.000000
704.000000, 225.000000
704.000000, 225.000000
711.000000, 225.000000
704.000000, 225.000000
711.000000, 225.000000
704.000000, 225.000000
700.000000, 225.000000
700.000000, 225.000000
704.000000, 230.000000
707.000000, 230.000000
714.000000, 230.000000
713.000000, 230.000000
707.000000, 230.000000
711.000000, 230.000000
711.000000, 230.000000
711.000000, 230.000000
705.000000, 230.000000
716.000000, 230.000000
721.000000, 235.000000
716.000000, 235.000000
722.000000, 235.000000
707.000000, 235.000000
718.000000, 235.000000
710.000000, 235.000000
721.000000, 235.000000
713.000000, 235.000000
716.000000, 235.000000
721.000000, 235.000000
718.000000, 240.000000
728.000000, 240.000000
729.000000, 240.000000
728.000000, 240.000000
713.000000, 240.000000
713.000000, 240.000000
723.000000, 240.000000
719.000000, 240.000000
711.000000, 240.000000
728.000000, 240.000000
732.000000, 245.000000
728.000000, 245.000000
718.000000, 245.000000
719.000000, 245.000000
723.000000, 245.000000
723.000000, 245.000000
719.000000, 245.000000
732.000000, 245.000000
728.000000, 245.000000
736.000000, 245.000000
728.000000, 250.000000
736.000000, 250.000000
728.000000, 250.000000
728.000000, 250.000000
728.000000, 250.000000
723.000000, 250.000000
739.000000, 250.000000
723.000000, 250.000000
738.000000, 250.000000
736.000000, 250.000000
737.000000, 255.000000
743.000000, 255.000000
732.000000, 255.000000
736.000000, 255.000000
728.000000, 255.000000
738.000000, 255.000000
736.000000, 255.000000
742.000000, 255.000000
737.000000, 255.000000
736.000000, 255.000000
745.000000, 260.000000
752.000000, 260.000000
732.000000, 260.000000
736.000000, 260.000000
746.000000, 260.000000
738.000000, 260.000000
748.000000, 260.000000
736.000000, 260.000000
743.000000, 260.000000
742.000000, 260.000000
741.000000, 265.000000
745.000000, 265.000000
737.000000, 265.000000
739.000000, 265.000000
739.000000, 265.000000
738.000000, 265.000000
737.000000, 265.000000
752.000000, 265.000000
748.000000, 265.000000
755.000000, 265.000000
752.000000, 270.000000
760.000000, 270.000000
755.000000, 270.000000
743.000000, 270.000000
755.000000, 270.000000
741.000000, 270.000000
743.000000, 270.000000
745.000000, 270.000000
760.000000, 270.000000
745.000000, 270.000000
760.000000, 275.000000
743.000000, 275.000000
741.000000, 275.000000
743.000000, 275.000000
760.000000, 275.000000
748.000000, 275.000000
748.000000, 275.000000
753.000000, 275.000000
743.000000, 275.000000
748.000000, 275.000000
768.000000, 280.000000
752.000000, 280.000000
768.000000, 280.000000
768.000000, 280.000000
750.000000, 280.000000
755.000000, 280.000000
752.000000, 280.000000
768.000000, 280.000000
752.000000, 280.000000
752.000000, 280.000000
755.000000, 285.000000
753.000000, 285.000000
771.000000, 285.000000
768.000000, 285.000000
760.000000, 285.000000
768.000000, 285.000000
755.000000, 285.000000
768.000000, 285.000000
752.000000, 285.000000
752.000000, 285.000000
768.000000, 290.000000
760.000000, 290.000000
760.000000, 290.000000
768.000000, 290.000000
768.000000, 290.000000
774.000000, 290.000000
768.000000, 290.000000
769.000000, 290.000000
755.000000, 290.000000
771.000000, 290.000000
768.000000, 295.000000
768.000000, 295.000000
768.000000, 295.000000
768.000000, 295.000000
773.000000, 295.000000
768.000000, 295.000000
768.000000, 295.000000
768.000000, 295.000000
768.000000, 295.000000
774.000000, 295.000000
769.000000, 300.000000
775.000000, 300.000000
768.000000, 300.000000
777.000000, 300.000000
775.000000, 300.000000
770.000000, 300.000000
771.000000, 300.000000
768.000000, 300.000000
769.000000, 300.000000
768.000000, 300.000000
768.000000, 305.000000
783.000000, 305.000000
775.000000, 305.000000
782.000000, 305.000000
782.000000, 305.000000
781.000000, 305.000000
775.000000, 305.000000
780.000000, 305.000000
780.000000, 305.000000
783.000000, 305.000000
771.000000, 310.000000
792.000000, 310.000000
787.000000, 310.000000
771.000000, 310.000000
775.000000, 310.000000
771.000000, 310.000000
775.000000, 310.000000
783.000000, 310.000000
792.000000, 310.000000
774.000000, 310.000000
775.000000, 315.000000
787.000000, 315.000000
775.000000, 315.000000
775.000000, 315.000000
775.000000, 315.000000
787.000000, 315.000000
792.000000, 315.000000
792.000000, 315.000000
787.000000, 315.000000
775.000000, 315.000000
780.000000, 320.000000
796.000000, 320.000000
792.000000, 320.000000
783.000000, 320.000000
793.000000, 320.000000
783.000000, 320.000000
797.000000, 320.000000
785.000000, 320.000000
792.000000, 320.000000
792.000000, 320.000000
798.000000, 325.000000
799.000000, 325.000000
796.000000, 325.000000
787.000000, 325.000000
796.000000, 325.000000
793.000000, 325.000000
793.000000, 325.000000
792.000000, 325.000000
787.000000, 325.000000
799.000000, 325.000000
799.000000, 330.000000
787.000000, 330.000000
798.000000, 330.000000
783.000000, 330.000000
783.000000, 330.000000
